id,name,field,get_pv,set_pv,enable_pv,enable_value
3,SR01C-DI-EBPM-01,x,1:SA:X,,SR01C-DI-EBPM-01:CF:ENABLED_S,1
3,SR01C-DI-EBPM-01,y,1:SA:Y,,SR01C-DI-EBPM-01:CF:ENABLED_S,1
5,SR01A-PC-Q1D-01,b1,1:I,1:SETI,,
8,SR01A-PC-S1D-01,b2,1:I,1:SETI,,
8,SR01A-PC-HSTR-01,b0,1:I,1:SETI,,
8,SR01A-PC-VSTR-01,a0,1:I,1:SETI,,
11,SR01A-PC-Q2D-02,b1,2:I,2:SETI,,
13,SR01A-PC-Q3D-03,b1,3:I,3:SETI,,
16,SR01A-PC-S2D-02,b2,2:I,2:SETI,,
16,SR01A-PC-HSTR-02,b0,2:I,2:SETI,,
16,SR01A-PC-VSTR-02,a0,2:I,2:SETI,,
19,SR01C-DI-EBPM-02,x,2:SA:X,,SR01C-DI-EBPM-02:CF:ENABLED_S,1
19,SR01C-DI-EBPM-02,y,2:SA:Y,,SR01C-DI-EBPM-02:CF:ENABLED_S,1
21,SR-PC-DIPOL-01,b0,1:I,1:SETI,,
23,SR01A-PC-Q2AD-04,b1,4:I,4:SETI,,
25,SR01C-DI-EBPM-03,x,3:SA:X,,SR01C-DI-EBPM-03:CF:ENABLED_S,1
25,SR01C-DI-EBPM-03,y,3:SA:Y,,SR01C-DI-EBPM-03:CF:ENABLED_S,1
28,SR01A-PC-S2A-03,b2,3:I,3:SETI,,
28,SR01A-PC-HSTR-03,b0,3:I,3:SETI,,
28,SR01A-PC-VSTR-03,a0,3:I,3:SETI,,
31,SR01A-PC-Q1AD-05,b1,5:I,5:SETI,,
33,SR01C-DI-EBPM-04,x,4:SA:X,,SR01C-DI-EBPM-04:CF:ENABLED_S,1
33,SR01C-DI-EBPM-04,y,4:SA:Y,,SR01C-DI-EBPM-04:CF:ENABLED_S,1
36,SR01A-PC-S1A-04,b2,4:I,4:SETI,,
36,SR01A-PC-HSTR-04,b0,4:I,4:SETI,,
36,SR01A-PC-VSTR-04,a0,4:I,4:SETI,,
39,SR01A-PC-Q1AB-06,b1,6:I,6:SETI,,
42,SR01A-PC-S2A-05,b2,5:I,5:SETI,,
42,SR01A-PC-HSTR-05,b0,5:I,5:SETI,,
42,SR01A-PC-VSTR-05,a0,5:I,5:SETI,,
45,SR01A-PC-Q2AB-07,b1,7:I,7:SETI,,
47,SR01C-DI-EBPM-05,x,5:SA:X,,SR01C-DI-EBPM-05:CF:ENABLED_S,1
47,SR01C-DI-EBPM-05,y,5:SA:Y,,SR01C-DI-EBPM-05:CF:ENABLED_S,1
49,SR-PC-DIPOL-01,b0,1:I,1:SETI,,
52,SR01A-PC-S2C-06,b2,6:I,6:SETI,,
52,SR01A-PC-HSTR-06,b0,6:I,6:SETI,,
52,SR01A-PC-VSTR-06,a0,6:I,6:SETI,,
55,SR01A-PC-Q3B-08,b1,8:I,8:SETI,,
57,SR01C-DI-EBPM-06,x,6:SA:X,,SR01C-DI-EBPM-06:CF:ENABLED_S,1
57,SR01C-DI-EBPM-06,y,6:SA:Y,,SR01C-DI-EBPM-06:CF:ENABLED_S,1
59,SR01A-PC-Q2B-09,b1,9:I,9:SETI,,
62,SR01A-PC-S1C-07,b2,7:I,7:SETI,,
62,SR01A-PC-HSTR-07,b0,7:I,7:SETI,,
62,SR01A-PC-VSTR-07,a0,7:I,7:SETI,,
65,SR01A-PC-Q1B-10,b1,0:I,0:SETI,,
67,SR01C-DI-EBPM-07,x,7:SA:X,,SR01C-DI-EBPM-07:CF:ENABLED_S,1
67,SR01C-DI-EBPM-07,y,7:SA:Y,,SR01C-DI-EBPM-07:CF:ENABLED_S,1
95,SR02C-DI-EBPM-01,x,1:SA:X,,SR02C-DI-EBPM-01:CF:ENABLED_S,1
95,SR02C-DI-EBPM-01,y,1:SA:Y,,SR02C-DI-EBPM-01:CF:ENABLED_S,1
99,SR02A-PC-Q1BE-01,b1,1:I,1:SETI,,
101,SR02A-PC-S1BE-01,b2,1:I,1:SETI,,
101,SR02A-PC-HSTR-01,b0,1:I,1:SETI,,
101,SR02A-PC-VSTR-01,a0,1:I,1:SETI,,
103,SR02A-PC-Q2BE-02,b1,2:I,2:SETI,,
107,SR02A-PC-S2BE-02,b2,2:I,2:SETI,,
111,SR-PC-DIPOL-01,b0,1:I,1:SETI,,
118,SR02C-DI-EBPM-02,x,2:SA:X,,SR02C-DI-EBPM-02:CF:ENABLED_S,1
118,SR02C-DI-EBPM-02,y,2:SA:Y,,SR02C-DI-EBPM-02:CF:ENABLED_S,1
120,SR02A-PC-S3E-03,b2,3:I,3:SETI,,
122,SR02A-PC-Q3E-03,b1,3:I,3:SETI,,
126,SR02A-PC-S4E-04,b2,4:I,4:SETI,,
126,SR02A-PC-HSTR-04,b0,4:I,4:SETI,,
126,SR02A-PC-VSTR-04,a0,4:I,4:SETI,,
128,SR02A-PC-Q3E-04,b1,4:I,4:SETI,,
130,SR02A-PC-S3E-05,b2,5:I,5:SETI,,
130,SR02A-PC-HSTR-05,b0,5:I,5:SETI,,
130,SR02A-PC-VSTR-05,a0,5:I,5:SETI,,
134,SR02C-DI-EBPM-03,x,3:SA:X,,SR02C-DI-EBPM-03:CF:ENABLED_S,1
134,SR02C-DI-EBPM-03,y,3:SA:Y,,SR02C-DI-EBPM-03:CF:ENABLED_S,1
136,SR-PC-DIPOL-01,b0,1:I,1:SETI,,
138,SR02A-PC-HSCOR-01,b0,1:I,1:SETI,,
