el_id,field,uc_type,uc_id,phys_units,eng_units
0,s_position,null,0,m,m
0,beta,null,0,m,m
0,dispersion,null,0,m,m
0,beam_current,null,0,A,A
111,db0,null,0,m^-1,A
189,db0,null,0,m^-1,A
136,db0,null,0,m^-1,A
164,db0,null,0,m^-1,A
1492,f,null,0,Hz,Hz
0,energy,poly,1,Gev,Mev
0,emittance_x,poly,2,m,nm
0,emittance_y,poly,3,m,pm
5,b1,pchip,4,m^-2,A
404,b1,pchip,4,m^-2,A
425,b1,pchip,4,m^-2,A
747,b1,pchip,4,m^-2,A
803,b1,pchip,4,m^-2,A
1135,b1,pchip,4,m^-2,A
1191,b1,pchip,4,m^-2,A
1488,b1,pchip,4,m^-2,A
1497,b1,pchip,4,m^-2,A
1825,b1,pchip,4,m^-2,A
1843,b1,pchip,4,m^-2,A
2141,b1,pchip,4,m^-2,A
11,b1,pchip,5,m^-2,A
398,b1,pchip,5,m^-2,A
431,b1,pchip,5,m^-2,A
741,b1,pchip,5,m^-2,A
809,b1,pchip,5,m^-2,A
1129,b1,pchip,5,m^-2,A
1197,b1,pchip,5,m^-2,A
1482,b1,pchip,5,m^-2,A
1503,b1,pchip,5,m^-2,A
1819,b1,pchip,5,m^-2,A
1849,b1,pchip,5,m^-2,A
2135,b1,pchip,5,m^-2,A
13,b1,pchip,6,m^-2,A
394,b1,pchip,6,m^-2,A
433,b1,pchip,6,m^-2,A
737,b1,pchip,6,m^-2,A
811,b1,pchip,6,m^-2,A
1125,b1,pchip,6,m^-2,A
1199,b1,pchip,6,m^-2,A
1478,b1,pchip,6,m^-2,A
1505,b1,pchip,6,m^-2,A
1815,b1,pchip,6,m^-2,A
1851,b1,pchip,6,m^-2,A
2131,b1,pchip,6,m^-2,A
23,b1,pchip,7,m^-2,A
384,b1,pchip,7,m^-2,A
443,b1,pchip,7,m^-2,A
727,b1,pchip,7,m^-2,A
821,b1,pchip,7,m^-2,A
1115,b1,pchip,7,m^-2,A
1209,b1,pchip,7,m^-2,A
1467,b1,pchip,7,m^-2,A
1515,b1,pchip,7,m^-2,A
1805,b1,pchip,7,m^-2,A
1861,b1,pchip,7,m^-2,A
2120,b1,pchip,7,m^-2,A
31,b1,pchip,8,m^-2,A
378,b1,pchip,8,m^-2,A
451,b1,pchip,8,m^-2,A
721,b1,pchip,8,m^-2,A
829,b1,pchip,8,m^-2,A
1109,b1,pchip,8,m^-2,A
1217,b1,pchip,8,m^-2,A
1461,b1,pchip,8,m^-2,A
1523,b1,pchip,8,m^-2,A
1799,b1,pchip,8,m^-2,A
1869,b1,pchip,8,m^-2,A
2114,b1,pchip,8,m^-2,A
39,b1,pchip,9,m^-2,A
268,b1,pchip,9,m^-2,A
276,b1,pchip,9,m^-2,A
370,b1,pchip,9,m^-2,A
459,b1,pchip,9,m^-2,A
542,b1,pchip,9,m^-2,A
550,b1,pchip,9,m^-2,A
634,b1,pchip,9,m^-2,A
642,b1,pchip,9,m^-2,A
713,b1,pchip,9,m^-2,A
837,b1,pchip,9,m^-2,A
943,b1,pchip,9,m^-2,A
951,b1,pchip,9,m^-2,A
1021,b1,pchip,9,m^-2,A
1029,b1,pchip,9,m^-2,A
1101,b1,pchip,9,m^-2,A
1225,b1,pchip,9,m^-2,A
1295,b1,pchip,9,m^-2,A
1303,b1,pchip,9,m^-2,A
1373,b1,pchip,9,m^-2,A
1381,b1,pchip,9,m^-2,A
1453,b1,pchip,9,m^-2,A
1531,b1,pchip,9,m^-2,A
1603,b1,pchip,9,m^-2,A
1611,b1,pchip,9,m^-2,A
1682,b1,pchip,9,m^-2,A
1690,b1,pchip,9,m^-2,A
1791,b1,pchip,9,m^-2,A
1877,b1,pchip,9,m^-2,A
1948,b1,pchip,9,m^-2,A
1956,b1,pchip,9,m^-2,A
2027,b1,pchip,9,m^-2,A
2035,b1,pchip,9,m^-2,A
2106,b1,pchip,9,m^-2,A
45,b1,pchip,10,m^-2,A
260,b1,pchip,10,m^-2,A
282,b1,pchip,10,m^-2,A
362,b1,pchip,10,m^-2,A
465,b1,pchip,10,m^-2,A
534,b1,pchip,10,m^-2,A
556,b1,pchip,10,m^-2,A
626,b1,pchip,10,m^-2,A
648,b1,pchip,10,m^-2,A
705,b1,pchip,10,m^-2,A
843,b1,pchip,10,m^-2,A
935,b1,pchip,10,m^-2,A
957,b1,pchip,10,m^-2,A
1013,b1,pchip,10,m^-2,A
1037,b1,pchip,10,m^-2,A
1093,b1,pchip,10,m^-2,A
1231,b1,pchip,10,m^-2,A
1287,b1,pchip,10,m^-2,A
1309,b1,pchip,10,m^-2,A
1365,b1,pchip,10,m^-2,A
1387,b1,pchip,10,m^-2,A
1445,b1,pchip,10,m^-2,A
1537,b1,pchip,10,m^-2,A
1595,b1,pchip,10,m^-2,A
