el_id,family
1,AP
2,D1D2
3,BPM
4,KD1
5,Q1D
6,D2B
7,DSEXT
8,S1D
8,SQUAD
8,HSTR
8,VSTR
9,DSEXT
10,D3B
11,Q2D
12,D4B
13,Q3D
14,D5B
15,DSEXT
16,S2D
16,HSTR
16,VSTR
17,DSEXT
18,D6Ba
19,BPM
20,D6Bb
21,BB
22,D4A
23,Q2AD
24,D3Aa
25,BPM
26,D3Ab
27,DSEXT
28,S2A
28,SQUAD
28,HSTR
28,VSTR
29,DSEXT
30,D2A
31,Q1AD
32,D1Aa
33,BPM
34,D1Ab
35,DSEXT
36,S1A
36,HSTR
36,VSTR
37,DSEXT
38,D1A
39,Q1AB
40,D2A
41,DSEXT
42,S2A
42,SQUAD
42,HSTR
42,VSTR
43,DSEXT
44,D3A
45,Q2AB
46,D4Aa
47,BPM
48,D4Ab
49,BB
50,D6B
51,DSEXT
52,S2C
52,HSTR
52,VSTR
53,DSEXT
54,D5B
55,Q3B
56,D4Ba
57,BPM
58,D4Bb
59,Q2B
60,D3B
61,DSEXT
62,S1C
62,SQUAD
62,HSTR
62,VSTR
63,DSEXT
64,D2B
65,Q1B
66,KD1
67,BPM
68,DBPM
69,DRIFT
70,DRIFT
71,HCHICA
72,DRIFT
73,DRIFT
74,DRIFT
75,HTRIM
76,VTRIM
77,DRIFT
78,U23a
79,source
80,U23a
81,DRIFT
82,HTRIM
83,VTRIM
84,DRIFT
85,DRIFT
86,DRIFT
87,HCHICA
88,DRIFT
89,DRIFT
90,DRIFT
91,HCHICA
92,DRIFT
93,DRIFT
94,DBPM
95,BPM
96,DK4BAS20
97,D2XL
98,D104BA0
99,Q1BE
100,D2B4BA
101,S1BE
101,SQUAD
101,HSTR
101,VSTR
102,D3B4BA
103,Q2BE
104,D4B4BA0
105,D1X
106,D104BA1
107,S2BE
108,D104BA1
109,D1Y
110,D6B4BA0
111,BBVMXS
112,D104BAA
113,D104BAB
114,D104BAC
115,D104BAD
116,BUMP
117,D154BAL
118,BPM
119,DLB4BAL
120,S3E
121,D1S4BA
122,Q3E
123,DHS4BAL1
124,BUMP
125,DHS4BAL2
126,S4E
126,SQUAD
126,HSTR
126,VSTR
127,DHS4BA
128,Q3E
129,D1S4BA
130,S3E
130,SQUAD
130,HSTR
130,VSTR
131,D054BAL
132,BUMP
133,DLBM4BAL1
134,BPM
135,DLBM4BAL2
136,BBVMXL
137,DRBM4BAL1
138,DRBM4BAL2
139,HSTR
140,VSTR
141,DRBM4BA2
142,Q4E
143,SPACER
144,BUMPSS
145,D1M4BAL1
146,D1M4BAL2
147,BPM
148,D104BAML
149,DMID4BAL1
150,DMID4BAL2
151,source
152,DMID4BAR1
153,DMID4BAR2
154,D104BAMR
155,BPM
156,D1M4BA
157,Q4E
158,DRBM4BA2
159,HSTR
160,VSTR
161,DRBM4BAR2
162,BUMP
163,DRBM4BAR1
164,BBVMXL
165,DLBM4BA0
166,D2YA
167,D2YB
168,D2YC
169,DLBM4BA1
170,D054BA
171,S3E
172,D1S4BA
173,Q3E
174,DHS4BAR1
175,BUMP
176,DHS4BAR2
177,BPM
178,DHS4BAR3
179,S4E
179,SQUAD
179,HSTR
179,VSTR
180,DHS4BA
181,Q3E
182,D1S4BA
183,S3E
183,SQUAD
183,HSTR
183,VSTR
184,DLB4BAR
185,BUMP
186,D154BAR
187,BPM
188,D104BAR
189,BBVMXS
190,D6B4BA0
191,D1YB
192,D1YAD1YA
193,D104BA1
194,S2BE
195,D104BA1
196,D1X
197,D4B4BA0
198,Q2BE
199,PAD
200,BUMP
201,D3B4BAR
202,S1BE
202,SQUAD
202,HSTR
202,VSTR
203,D2B4BA
204,Q1BE
205,D104BA0R
206,BUMP
207,D2XR
208,DK4BAS21
209,DK4BAS22
210,DK4BAS23
211,TEMPDRIFT
212,BPM
213,DBPM
214,DRIFT
215,DRIFT
216,HCHICA
217,DRIFT
218,DRIFT
219,DRIFT
220,HTRIM
221,VTRIM
222,DRIFT
223,U21
224,source
225,U21
226,DRIFT
227,HTRIM
228,VTRIM
229,DRIFT
230,DRIFT
231,DRIFT
232,HCHICA
233,DRIFT
234,DRIFT
235,DRIFT
236,HCHICA
237,DRIFT
238,DRIFT
239,DBPM
240,BPM
241,KD1
242,Q1B
243,D2B
244,DSEXT
245,S1B
245,SQUAD
245,HSTR
245,VSTR
246,DSEXT
247,D3B
248,Q2B
249,D4B
250,Q3B
251,D5B
252,DSEXT
253,S2B
253,HSTR
253,VSTR
254,DSEXT
