id,name,type,length
1,,AP,0.000000
2,,DRIFT,4.380000
3,,BPM,0.000000
4,,DRIFT,1.288300
5,,QUAD,0.406400
6,,DRIFT,0.146800
7,,DRIFT,0.005000
8,,SEXT,0.290000
9,,DRIFT,0.005000
10,,DRIFT,0.231850
11,,QUAD,0.606300
12,,DRIFT,0.458350
13,,QUAD,0.307000
14,,DRIFT,0.196500
15,,DRIFT,0.005000
16,,SEXT,0.290000
17,,DRIFT,0.005000
18,,DRIFT,0.185000
19,,BPM,0.000000
20,,DRIFT,0.484000
21,,BEND,0.933000
22,,DRIFT,0.585800
23,,QUAD,0.406400
24,,DRIFT,0.158300
25,,BPM,0.000000
26,,DRIFT,0.263500
27,,DRIFT,0.005000
28,,SEXT,0.190000
29,,DRIFT,0.005000
30,,DRIFT,0.195200
31,,QUAD,0.407600
32,,DRIFT,0.118700
33,,BPM,0.000000
34,,DRIFT,0.116000
35,,DRIFT,0.005000
36,,SEXT,0.290000
37,,DRIFT,0.005000
38,,DRIFT,0.234700
39,,QUAD,0.407600
40,,DRIFT,0.195200
41,,DRIFT,0.005000
42,,SEXT,0.190000
43,,DRIFT,0.005000
44,,DRIFT,0.421800
45,,QUAD,0.406400
46,,DRIFT,0.101800
47,,BPM,0.000000
48,,DRIFT,0.484000
49,,BEND,0.933000
50,,DRIFT,0.669000
51,,DRIFT,0.005000
52,,SEXT,0.290000
53,,DRIFT,0.005000
54,,DRIFT,0.196500
55,,QUAD,0.307000
56,,DRIFT,0.173000
57,,BPM,0.000000
58,,DRIFT,0.285350
59,,QUAD,0.606300
60,,DRIFT,0.231850
61,,DRIFT,0.005000
62,,SEXT,0.290000
63,,DRIFT,0.005000
64,,DRIFT,0.146800
65,,QUAD,0.406400
66,,DRIFT,1.288300
67,,BPM,0.000000
68,,DRIFT,0.002500
69,,DRIFT,1.219500
70,,DRIFT,0.050000
71,,HCHICA,0.000000
72,,DRIFT,0.050000
73,,DRIFT,0.280500
74,,DRIFT,0.150000
75,,HTRIM,0.000000
76,,VTRIM,0.000000
77,,DRIFT,0.150000
78,,DRIFT,0.977500
79,,source,0.000000
80,,DRIFT,0.977500
81,,DRIFT,0.150000
82,,HTRIM,0.000000
83,,VTRIM,0.000000
84,,DRIFT,0.150000
85,,DRIFT,0.054000
86,,DRIFT,0.050000
87,,HCHICA,0.000000
88,,DRIFT,0.050000
89,,DRIFT,0.907000
90,,DRIFT,0.050000
91,,HCHICA,0.000000
92,,DRIFT,0.050000
93,,DRIFT,0.339000
94,,DRIFT,0.002500
95,,BPM,0.000000
96,,DRIFT,0.366820
97,,DRIFT,0.126181
98,,DRIFT,0.050000
99,,QUAD,0.250000
100,,DRIFT,0.112500
101,,SEXT,0.175000
102,,DRIFT,0.172500
103,,QUAD,0.250000
104,,DRIFT,0.069280
105,,DRIFT,0.100000
106,,DRIFT,0.075000
107,,SEXT,0.175000
108,,DRIFT,0.075000
109,,DRIFT,0.100000
110,,DRIFT,0.112500
111,,BEND,0.670431
112,,DRIFT,0.185194
113,,DRIFT,0.033729
114,,DRIFT,0.025411
115,,DRIFT,0.247889
116,,DRIFT,0.003000
117,,DRIFT,0.055324
118,,BPM,0.000000
119,,DRIFT,0.055173
120,,SEXT,0.175000
121,,DRIFT,0.088380
122,,QUAD,0.250000
123,,DRIFT,0.031123
124,,DRIFT,0.003000
125,,DRIFT,0.115877
126,,SEXT,0.175000
127,,DRIFT,0.150000
128,,QUAD,0.250000
129,,DRIFT,0.088380
130,,SEXT,0.175000
131,,DRIFT,0.042543
132,,DRIFT,0.003000
133,,DRIFT,0.112894
134,,BPM,0.000000
135,,DRIFT,0.229063
136,,BEND,0.966928
137,,DRIFT,0.068240
138,,DRIFT,0.073540
139,,HSTR,0.000000
140,,VSTR,0.000000
141,,DRIFT,0.096600
142,,QUAD,0.250000
143,,DRIFT,0.000010
144,,DRIFT,0.000000
145,,DRIFT,0.011240
146,,DRIFT,0.206000
147,,BPM,0.000000
148,,DRIFT,0.114000
149,,DRIFT,0.368750
150,,DRIFT,1.000000
151,,source,0.000000
152,,DRIFT,1.000000
153,,DRIFT,0.375420
154,,DRIFT,0.107330
155,,BPM,0.000000
156,,DRIFT,0.217250
157,,QUAD,0.250000
158,,DRIFT,0.096600
159,,HSTR,0.000000
160,,VSTR,0.000000
161,,DRIFT,0.036080
162,,DRIFT,0.003000
163,,DRIFT,0.102700
164,,BEND,0.966928
165,,DRIFT,0.037500
166,,DRIFT,0.141042
167,,DRIFT,0.033728
168,,DRIFT,0.024583
169,,DRIFT,0.038147
170,,DRIFT,0.112500
171,,SEXT,0.175000
172,,DRIFT,0.088380
173,,QUAD,0.250000
174,,DRIFT,0.020890
175,,DRIFT,0.003000
176,,DRIFT,0.075286
177,,BPM,0.000000
178,,DRIFT,0.050824
179,,SEXT,0.175000
180,,DRIFT,0.150000
181,,QUAD,0.250000
182,,DRIFT,0.088380
183,,SEXT,0.175000
184,,DRIFT,0.269070
185,,DRIFT,0.003000
186,,DRIFT,0.103390
187,,BPM,0.000000
188,,DRIFT,0.230260
189,,BEND,0.670431
190,,DRIFT,0.112500
191,,DRIFT,0.050309
192,,DRIFT,0.049691
193,,DRIFT,0.075000
194,,SEXT,0.175000
195,,DRIFT,0.075000
196,,DRIFT,0.100000
197,,DRIFT,0.069280
198,,QUAD,0.250000
199,,DRIFT,0.000559
200,,DRIFT,0.003000
201,,DRIFT,0.168941
202,,SEXT,0.175000
203,,DRIFT,0.112500
204,,QUAD,0.250000
205,,DRIFT,0.061559
206,,DRIFT,0.003000
207,,DRIFT,0.113000
208,,DRIFT,0.048442
209,,DRIFT,0.086001
210,,DRIFT,0.130999
211,,DRIFT,0.100000
212,,BPM,0.000000
213,,DRIFT,0.002500
214,,DRIFT,1.119500
215,,DRIFT,0.050000
216,,HCHICA,0.000000
217,,DRIFT,0.050000
218,,DRIFT,0.281500
219,,DRIFT,0.150000
220,,HTRIM,0.000000
221,,VTRIM,0.000000
222,,DRIFT,0.150000
223,,DRIFT,0.976500
224,,source,0.000000
225,,DRIFT,0.976500
226,,DRIFT,0.150000
227,,HTRIM,0.000000
228,,VTRIM,0.000000
229,,DRIFT,0.150000
230,,DRIFT,0.055000
231,,DRIFT,0.050000
232,,HCHICA,0.000000
233,,DRIFT,0.050000
234,,DRIFT,0.907000
235,,DRIFT,0.050000
236,,HCHICA,0.000000
237,,DRIFT,0.050000
238,,DRIFT,0.439000
239,,DRIFT,0.002500
240,,BPM,0.000000
241,,DRIFT,1.288300
242,,QUAD,0.406400
243,,DRIFT,0.146800
244,,DRIFT,0.005000
245,,SEXT,0.290000
246,,DRIFT,0.005000
247,,DRIFT,0.231850
248,,QUAD,0.606300
249,,DRIFT,0.458350
250,,QUAD,0.307000
251,,DRIFT,0.196500
252,,DRIFT,0.005000
253,,SEXT,0.290000
254,,DRIFT,0.005000
255,,DRIFT,0.185000
256,,BPM,0.000000
257,,DRIFT,0.484000
258,,BEND,0.933000
259,,DRIFT,0.585800
260,,QUAD,0.406400
261,,DRIFT,0.158300
262,,BPM,0.000000
263,,DRIFT,0.263500
264,,DRIFT,0.005000
265,,SEXT,0.190000
266,,DRIFT,0.005000
267,,DRIFT,0.195200
268,,QUAD,0.407600
269,,DRIFT,0.118700
