el_id,field,uc_type,uc_id,phys_units,eng_units
0,energy,poly,0,Gev,Mev
0,s_position,null,0,m,m
0,beta,null,0,m,m
0,dispersion,null,0,m,m
0,emittance_x,null,0,nm,nm
0,emittance_y,null,0,pm,pm
0,beam_current,null,0,A,A
111,db0,null,0,m^-1,A
189,db0,null,0,m^-1,A
136,db0,null,0,m^-1,A
164,db0,null,0,m^-1,A
1490,f,null,0,Hz,Hz
5,b1,pchip,1,m^-2,A
404,b1,pchip,1,m^-2,A
425,b1,pchip,1,m^-2,A
747,b1,pchip,1,m^-2,A
803,b1,pchip,1,m^-2,A
1133,b1,pchip,1,m^-2,A
1189,b1,pchip,1,m^-2,A
1486,b1,pchip,1,m^-2,A
1495,b1,pchip,1,m^-2,A
1823,b1,pchip,1,m^-2,A
1841,b1,pchip,1,m^-2,A
2139,b1,pchip,1,m^-2,A
11,b1,pchip,2,m^-2,A
398,b1,pchip,2,m^-2,A
431,b1,pchip,2,m^-2,A
741,b1,pchip,2,m^-2,A
809,b1,pchip,2,m^-2,A
1127,b1,pchip,2,m^-2,A
1195,b1,pchip,2,m^-2,A
1480,b1,pchip,2,m^-2,A
1501,b1,pchip,2,m^-2,A
1817,b1,pchip,2,m^-2,A
1847,b1,pchip,2,m^-2,A
2133,b1,pchip,2,m^-2,A
13,b1,pchip,3,m^-2,A
394,b1,pchip,3,m^-2,A
433,b1,pchip,3,m^-2,A
737,b1,pchip,3,m^-2,A
811,b1,pchip,3,m^-2,A
1123,b1,pchip,3,m^-2,A
1197,b1,pchip,3,m^-2,A
1476,b1,pchip,3,m^-2,A
1503,b1,pchip,3,m^-2,A
1813,b1,pchip,3,m^-2,A
1849,b1,pchip,3,m^-2,A
2129,b1,pchip,3,m^-2,A
23,b1,pchip,4,m^-2,A
384,b1,pchip,4,m^-2,A
443,b1,pchip,4,m^-2,A
727,b1,pchip,4,m^-2,A
821,b1,pchip,4,m^-2,A
1113,b1,pchip,4,m^-2,A
1207,b1,pchip,4,m^-2,A
1465,b1,pchip,4,m^-2,A
1513,b1,pchip,4,m^-2,A
1803,b1,pchip,4,m^-2,A
1859,b1,pchip,4,m^-2,A
2118,b1,pchip,4,m^-2,A
31,b1,pchip,5,m^-2,A
378,b1,pchip,5,m^-2,A
451,b1,pchip,5,m^-2,A
721,b1,pchip,5,m^-2,A
829,b1,pchip,5,m^-2,A
1107,b1,pchip,5,m^-2,A
1215,b1,pchip,5,m^-2,A
1459,b1,pchip,5,m^-2,A
1521,b1,pchip,5,m^-2,A
1797,b1,pchip,5,m^-2,A
1867,b1,pchip,5,m^-2,A
2112,b1,pchip,5,m^-2,A
39,b1,pchip,6,m^-2,A
268,b1,pchip,6,m^-2,A
276,b1,pchip,6,m^-2,A
370,b1,pchip,6,m^-2,A
459,b1,pchip,6,m^-2,A
542,b1,pchip,6,m^-2,A
550,b1,pchip,6,m^-2,A
634,b1,pchip,6,m^-2,A
642,b1,pchip,6,m^-2,A
713,b1,pchip,6,m^-2,A
837,b1,pchip,6,m^-2,A
943,b1,pchip,6,m^-2,A
951,b1,pchip,6,m^-2,A
1021,b1,pchip,6,m^-2,A
1029,b1,pchip,6,m^-2,A
1099,b1,pchip,6,m^-2,A
1223,b1,pchip,6,m^-2,A
1293,b1,pchip,6,m^-2,A
1301,b1,pchip,6,m^-2,A
1371,b1,pchip,6,m^-2,A
1379,b1,pchip,6,m^-2,A
1451,b1,pchip,6,m^-2,A
1529,b1,pchip,6,m^-2,A
1601,b1,pchip,6,m^-2,A
1609,b1,pchip,6,m^-2,A
1680,b1,pchip,6,m^-2,A
1688,b1,pchip,6,m^-2,A
1789,b1,pchip,6,m^-2,A
1875,b1,pchip,6,m^-2,A
1946,b1,pchip,6,m^-2,A
1954,b1,pchip,6,m^-2,A
2025,b1,pchip,6,m^-2,A
2033,b1,pchip,6,m^-2,A
2104,b1,pchip,6,m^-2,A
45,b1,pchip,7,m^-2,A
260,b1,pchip,7,m^-2,A
282,b1,pchip,7,m^-2,A
362,b1,pchip,7,m^-2,A
465,b1,pchip,7,m^-2,A
534,b1,pchip,7,m^-2,A
556,b1,pchip,7,m^-2,A
626,b1,pchip,7,m^-2,A
648,b1,pchip,7,m^-2,A
705,b1,pchip,7,m^-2,A
843,b1,pchip,7,m^-2,A
935,b1,pchip,7,m^-2,A
957,b1,pchip,7,m^-2,A
1013,b1,pchip,7,m^-2,A
1035,b1,pchip,7,m^-2,A
1091,b1,pchip,7,m^-2,A
1229,b1,pchip,7,m^-2,A
1285,b1,pchip,7,m^-2,A
1307,b1,pchip,7,m^-2,A
1363,b1,pchip,7,m^-2,A
1385,b1,pchip,7,m^-2,A
1443,b1,pchip,7,m^-2,A
1535,b1,pchip,7,m^-2,A
1593,b1,pchip,7,m^-2,A
1615,b1,pchip,7,m^-2,A
1672,b1,pchip,7,m^-2,A
1694,b1,pchip,7,m^-2,A
1781,b1,pchip,7,m^-2,A
1881,b1,pchip,7,m^-2,A
1938,b1,pchip,7,m^-2,A
1960,b1,pchip,7,m^-2,A
2017,b1,pchip,7,m^-2,A
2039,b1,pchip,7,m^-2,A
2096,b1,pchip,7,m^-2,A
55,b1,pchip,8,m^-2,A
250,b1,pchip,8,m^-2,A
292,b1,pchip,8,m^-2,A
352,b1,pchip,8,m^-2,A
475,b1,pchip,8,m^-2,A
524,b1,pchip,8,m^-2,A
566,b1,pchip,8,m^-2,A
616,b1,pchip,8,m^-2,A
659,b1,pchip,8,m^-2,A
695,b1,pchip,8,m^-2,A
853,b1,pchip,8,m^-2,A
925,b1,pchip,8,m^-2,A
967,b1,pchip,8,m^-2,A
1003,b1,pchip,8,m^-2,A
1045,b1,pchip,8,m^-2,A
1081,b1,pchip,8,m^-2,A
1239,b1,pchip,8,m^-2,A
1275,b1,pchip,8,m^-2,A
1317,b1,pchip,8,m^-2,A
1353,b1,pchip,8,m^-2,A
1395,b1,pchip,8,m^-2,A
1433,b1,pchip,8,m^-2,A
1545,b1,pchip,8,m^-2,A
1583,b1,pchip,8,m^-2,A
1626,b1,pchip,8,m^-2,A
1662,b1,pchip,8,m^-2,A
1704,b1,pchip,8,m^-2,A
1771,b1,pchip,8,m^-2,A
1892,b1,pchip,8,m^-2,A
1928,b1,pchip,8,m^-2,A
1971,b1,pchip,8,m^-2,A
2007,b1,pchip,8,m^-2,A
2050,b1,pchip,8,m^-2,A
2086,b1,pchip,8,m^-2,A
59,b1,pchip,9,m^-2,A
248,b1,pchip,9,m^-2,A
296,b1,pchip,9,m^-2,A
350,b1,pchip,9,m^-2,A
479,b1,pchip,9,m^-2,A
522,b1,pchip,9,m^-2,A
570,b1,pchip,9,m^-2,A
614,b1,pchip,9,m^-2,A
663,b1,pchip,9,m^-2,A
693,b1,pchip,9,m^-2,A
857,b1,pchip,9,m^-2,A
923,b1,pchip,9,m^-2,A
971,b1,pchip,9,m^-2,A
1001,b1,pchip,9,m^-2,A
1049,b1,pchip,9,m^-2,A
1079,b1,pchip,9,m^-2,A
1243,b1,pchip,9,m^-2,A
1273,b1,pchip,9,m^-2,A
1321,b1,pchip,9,m^-2,A
1351,b1,pchip,9,m^-2,A
1399,b1,pchip,9,m^-2,A
1431,b1,pchip,9,m^-2,A
1549,b1,pchip,9,m^-2,A
1581,b1,pchip,9,m^-2,A
1630,b1,pchip,9,m^-2,A
1660,b1,pchip,9,m^-2,A
1708,b1,pchip,9,m^-2,A
1769,b1,pchip,9,m^-2,A
1896,b1,pchip,9,m^-2,A
1926,b1,pchip,9,m^-2,A
1975,b1,pchip,9,m^-2,A
2005,b1,pchip,9,m^-2,A
2054,b1,pchip,9,m^-2,A
2084,b1,pchip,9,m^-2,A
65,b1,pchip,10,m^-2,A
242,b1,pchip,10,m^-2,A
302,b1,pchip,10,m^-2,A
344,b1,pchip,10,m^-2,A
485,b1,pchip,10,m^-2,A
516,b1,pchip,10,m^-2,A
576,b1,pchip,10,m^-2,A
608,b1,pchip,10,m^-2,A
669,b1,pchip,10,m^-2,A
687,b1,pchip,10,m^-2,A
863,b1,pchip,10,m^-2,A
917,b1,pchip,10,m^-2,A
977,b1,pchip,10,m^-2,A
995,b1,pchip,10,m^-2,A
1055,b1,pchip,10,m^-2,A
1073,b1,pchip,10,m^-2,A
1249,b1,pchip,10,m^-2,A
1267,b1,pchip,10,m^-2,A
1327,b1,pchip,10,m^-2,A
1345,b1,pchip,10,m^-2,A
1405,b1,pchip,10,m^-2,A
1425,b1,pchip,10,m^-2,A
1555,b1,pchip,10,m^-2,A
1575,b1,pchip,10,m^-2,A
1636,b1,pchip,10,m^-2,A
1654,b1,pchip,10,m^-2,A
1714,b1,pchip,10,m^-2,A
1763,b1,pchip,10,m^-2,A
1902,b1,pchip,10,m^-2,A
1920,b1,pchip,10,m^-2,A
1981,b1,pchip,10,m^-2,A
1999,b1,pchip,10,m^-2,A
2060,b1,pchip,10,m^-2,A
2078,b1,pchip,10,m^-2,A
99,b1,pchip,11,m^-2,A
204,b1,pchip,12,m^-2,A
103,b1,pchip,13,m^-2,A
198,b1,pchip,14,m^-2,A
122,b1,pchip,15,m^-2,A
128,b1,pchip,16,m^-2,A
173,b1,pchip,17,m^-2,A
181,b1,pchip,18,m^-2,A
142,b1,pchip,19,m^-2,A
157,b1,pchip,20,m^-2,A
749,b1,pchip,21,m^-2,A
776,b1,pchip,22,m^-2,A
778,b1,pchip,23,m^-2,A
801,b1,pchip,24,m^-2,A
1135,b1,pchip,25,m^-2,A
1162,b1,pchip,26,m^-2,A
1164,b1,pchip,27,m^-2,A
1187,b1,pchip,28,m^-2,A
8,b2,pchip,29,m^-3,A
401,b2,pchip,29,m^-3,A
428,b2,pchip,29,m^-3,A
744,b2,pchip,29,m^-3,A
806,b2,pchip,29,m^-3,A
1130,b2,pchip,29,m^-3,A
1192,b2,pchip,29,m^-3,A
1483,b2,pchip,29,m^-3,A
1498,b2,pchip,29,m^-3,A
1820,b2,pchip,29,m^-3,A
1844,b2,pchip,29,m^-3,A
