type,length
source,0.000000
LS,0.000000
Drift,3.589880
SE,0.000000
BPM,0.000000
Drift,0.182500
GS,0.000000
Quadrupole,0.185000
Drift,0.034235
Multipole,0.101530
Drift,0.034235
Quadrupole,0.150000
Drift,0.075000
Sextupole,0.100000
Drift,0.088700
BPM,0.000000
Drift,0.028310
HFCM,0.000000
VFCM,0.000000
Drift,0.037990
Quadrupole,0.115000
Drift,0.075000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Drift,0.075000
Quadrupole,0.150000
Drift,0.075000
Sextupole,0.220000
Drift,0.239000
BPM,0.000000
Drift,0.086500
Bend,0.150000
Drift,0.075000
Sextupole,0.140000
Drift,0.075000
Bend,0.150000
Drift,0.075000
Multipole,0.090000
Drift,0.104900
BPM,0.000000
Drift,0.028738
HFCM,0.000000
VFCM,0.000000
Drift,0.086862
Sextupole,0.140000
Drift,0.085000
Quadrupole,0.115000
Drift,0.075000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Drift,0.100000
Sextupole,0.100000
Drift,0.181200
HFCM,0.000000
VFCM,0.000000
Drift,0.008600
BPM,0.000000
Drift,0.087200
Quadrupole,0.360000
Drift,0.090000
Bend,0.870000
Drift,0.090000
Quadrupole,0.250000
Drift,0.075000
Sextupole,0.100000
GE,0.000000
Drift,0.217500
BPM,0.000000
SE,0.000000
Drift,1.240473
source,0.000000
MS,0.000000
Drift,1.240473
SE,0.000000
BPM,0.000000
Drift,0.185747
HFCM,0.000000
VFCM,0.000000
Drift,0.031750
GS,0.000000
Sextupole,0.100000
Drift,0.075000
Quadrupole,0.250000
Drift,0.089999
Bend,0.870000
Drift,0.090002
Quadrupole,0.360000
Drift,0.198013
BPM,0.000000
Drift,0.078987
Sextupole,0.100000
Drift,0.099997
Bend,0.200000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Bend,0.200000
Drift,0.075000
Quadrupole,0.115000
Drift,0.085004
Sextupole,0.140000
Drift,0.073740
BPM,0.000000
Drift,0.048312
HFCM,0.000000
VFCM,0.000000
Drift,0.098446
Multipole,0.090000
Drift,0.075003
Bend,0.150000
Drift,0.074998
Sextupole,0.140000
Drift,0.074999
Bend,0.150000
