uc_id,coeff,val
1,0,0.000000
1,1,1e+06
2,0,0.000000
2,1,1e-09
3,0,0.000000
3,1,1e-12
47,0,0.000000
47,1,0.001000
48,0,0.000000
48,1,0.000077
49,0,0.000000
49,1,0.000077
50,0,0.000000
50,1,0.000077
51,0,0.000000
51,1,0.000077
52,0,0.000000
52,1,0.000077
53,0,0.000000
53,1,0.000077
54,0,0.000000
54,1,0.000077
55,0,0.000000
55,1,0.000077
56,0,0.000000
56,1,0.000077
57,0,0.000000
57,1,0.000077
58,0,0.000000
58,1,0.000077
59,0,0.000000
59,1,0.000077
60,0,0.000000
60,1,0.000077
61,0,0.000000
61,1,0.000077
62,0,0.000000
62,1,0.000077
63,0,0.000000
63,1,0.000077
64,0,0.000000
64,1,0.000077
65,0,0.000000
65,1,0.000077
66,0,0.000000
66,1,0.000077
67,0,0.000000
67,1,0.000077
68,0,0.000000
68,1,0.000077
69,0,0.000000
69,1,0.000077
70,0,0.000000
70,1,0.000077
71,0,0.000000
71,1,0.000077
72,0,0.000000
72,1,0.000077
73,0,0.000000
73,1,0.000077
74,0,0.000000
74,1,0.000077
75,0,0.000000
75,1,0.000077
76,0,0.000000
76,1,0.000077
77,0,0.000000
77,1,0.000077
78,0,0.000000
78,1,0.000077
79,0,0.000000
79,1,0.000077
80,0,0.000000
80,1,0.000077
81,0,0.000000
81,1,0.000077
82,0,0.000000
82,1,0.000077
83,0,0.000000
83,1,0.000077
84,0,0.000000
84,1,0.000077
85,0,0.000000
85,1,0.000077
86,0,0.000000
86,1,0.000077
87,0,0.000000
87,1,0.000077
88,0,0.000000
88,1,0.000077
89,0,0.000000
89,1,0.000077
90,0,0.000000
90,1,0.000077
91,0,0.000000
91,1,0.000077
92,0,0.000000
92,1,0.000077
93,0,0.000000
93,1,0.000077
94,0,0.000000
94,1,0.000077
95,0,0.000000
95,1,0.000077
96,0,0.000000
96,1,0.000077
97,0,0.000000
97,1,0.000077
98,0,0.000000
98,1,0.000077
99,0,0.000000
99,1,0.000077
100,0,0.000000
100,1,0.000077
101,0,0.000000
101,1,0.000077
102,0,0.000000
102,1,0.000077
103,0,0.000000
103,1,0.000077
104,0,0.000000
104,1,0.000077
105,0,0.000000
105,1,0.000077
106,0,0.000000
106,1,0.000077
107,0,0.000000
107,1,0.000077
108,0,0.000000
108,1,0.000077
109,0,0.000000
109,1,0.000077
110,0,0.000000
110,1,0.000077
111,0,0.000000
111,1,0.000077
112,0,0.000000
112,1,0.000077
113,0,0.000000
113,1,0.000077
