el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
0,s_position,null,0,m,m,,
0,beta,null,0,m,m,,
0,dispersion,null,0,m,m,,
0,beam_current,null,0,A,A,,
735,f,null,0,Hz,Hz,,
740,f,null,0,Hz,Hz,,
891,f,null,0,Hz,Hz,,
896,f,null,0,Hz,Hz,,
2752,f,null,0,Hz,Hz,,
2757,f,null,0,Hz,Hz,,
3253,f,null,0,Hz,Hz,,
3258,f,null,0,Hz,Hz,,
0,energy,poly,1,eV,MeV,,
0,emittance_x,poly,2,m,nm,,
0,emittance_y,poly,3,m,pm,,
8,b1,pchip,4,m^-2,A,-200,200
648,b1,pchip,4,m^-2,A,-200,200
666,b1,pchip,4,m^-2,A,-200,200
1288,b1,pchip,4,m^-2,A,-200,200
1352,b1,pchip,4,m^-2,A,-200,200
1965,b1,pchip,4,m^-2,A,-200,200
2027,b1,pchip,4,m^-2,A,-200,200
2659,b1,pchip,4,m^-2,A,-200,200
2683,b1,pchip,4,m^-2,A,-200,200
3327,b1,pchip,4,m^-2,A,-200,200
3351,b1,pchip,4,m^-2,A,-200,200
3958,b1,pchip,4,m^-2,A,-200,200
12,b1,pchip,5,m^-2,A,-200,200
644,b1,pchip,5,m^-2,A,-200,200
670,b1,pchip,5,m^-2,A,-200,200
1284,b1,pchip,5,m^-2,A,-200,200
1356,b1,pchip,5,m^-2,A,-200,200
1961,b1,pchip,5,m^-2,A,-200,200
2031,b1,pchip,5,m^-2,A,-200,200
2655,b1,pchip,5,m^-2,A,-200,200
2687,b1,pchip,5,m^-2,A,-200,200
3323,b1,pchip,5,m^-2,A,-200,200
3355,b1,pchip,5,m^-2,A,-200,200
3954,b1,pchip,5,m^-2,A,-200,200
21,b1,pchip,6,m^-2,A,-200,200
638,b1,pchip,6,m^-2,A,-200,200
679,b1,pchip,6,m^-2,A,-200,200
1278,b1,pchip,6,m^-2,A,-200,200
1365,b1,pchip,6,m^-2,A,-200,200
1955,b1,pchip,6,m^-2,A,-200,200
2040,b1,pchip,6,m^-2,A,-200,200
2649,b1,pchip,6,m^-2,A,-200,200
2696,b1,pchip,6,m^-2,A,-200,200
3317,b1,pchip,6,m^-2,A,-200,200
3364,b1,pchip,6,m^-2,A,-200,200
3948,b1,pchip,6,m^-2,A,-200,200
29,b1,pchip,7,m^-2,A,-200,200
630,b1,pchip,7,m^-2,A,-200,200
687,b1,pchip,7,m^-2,A,-200,200
1270,b1,pchip,7,m^-2,A,-200,200
1373,b1,pchip,7,m^-2,A,-200,200
1947,b1,pchip,7,m^-2,A,-200,200
2048,b1,pchip,7,m^-2,A,-200,200
2641,b1,pchip,7,m^-2,A,-200,200
2704,b1,pchip,7,m^-2,A,-200,200
3309,b1,pchip,7,m^-2,A,-200,200
3372,b1,pchip,7,m^-2,A,-200,200
3940,b1,pchip,7,m^-2,A,-200,200
35,b1,pchip,8,m^-2,A,-200,200
621,b1,pchip,8,m^-2,A,-200,200
693,b1,pchip,8,m^-2,A,-200,200
1261,b1,pchip,8,m^-2,A,-200,200
1379,b1,pchip,8,m^-2,A,-200,200
1938,b1,pchip,8,m^-2,A,-200,200
2054,b1,pchip,8,m^-2,A,-200,200
2632,b1,pchip,8,m^-2,A,-200,200
2710,b1,pchip,8,m^-2,A,-200,200
3300,b1,pchip,8,m^-2,A,-200,200
3378,b1,pchip,8,m^-2,A,-200,200
3931,b1,pchip,8,m^-2,A,-200,200
39,b1,pchip,9,m^-2,A,-200,200
617,b1,pchip,9,m^-2,A,-200,200
697,b1,pchip,9,m^-2,A,-200,200
1257,b1,pchip,9,m^-2,A,-200,200
1383,b1,pchip,9,m^-2,A,-200,200
1934,b1,pchip,9,m^-2,A,-200,200
2058,b1,pchip,9,m^-2,A,-200,200
2628,b1,pchip,9,m^-2,A,-200,200
2714,b1,pchip,9,m^-2,A,-200,200
3296,b1,pchip,9,m^-2,A,-200,200
3382,b1,pchip,9,m^-2,A,-200,200
3927,b1,pchip,9,m^-2,A,-200,200
50,b1,pchip,10,m^-2,A,-200,200
105,b1,pchip,10,m^-2,A,-200,200
211,b1,pchip,10,m^-2,A,-200,200
275,b1,pchip,10,m^-2,A,-200,200
381,b1,pchip,10,m^-2,A,-200,200
436,b1,pchip,10,m^-2,A,-200,200
542,b1,pchip,10,m^-2,A,-200,200
606,b1,pchip,10,m^-2,A,-200,200
708,b1,pchip,10,m^-2,A,-200,200
767,b1,pchip,10,m^-2,A,-200,200
864,b1,pchip,10,m^-2,A,-200,200
923,b1,pchip,10,m^-2,A,-200,200
1029,b1,pchip,10,m^-2,A,-200,200
1095,b1,pchip,10,m^-2,A,-200,200
1191,b1,pchip,10,m^-2,A,-200,200
1246,b1,pchip,10,m^-2,A,-200,200
