el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
0,s_position,null,0,m,m,,
0,beta,null,0,m,m,,
0,dispersion,null,0,m,m,,
0,beam_current,null,0,A,A,,
1514,f,null,0,Hz,Hz,,
0,energy,poly,1,eV,MeV,,
0,emittance_x,poly,2,m,nm,,
0,emittance_y,poly,3,m,pm,,
5,b1,pchip,4,m^-2,A,0,200
410,b1,pchip,4,m^-2,A,0,200
431,b1,pchip,4,m^-2,A,0,200
753,b1,pchip,4,m^-2,A,0,250
809,b1,pchip,4,m^-2,A,0,200
1156,b1,pchip,4,m^-2,A,0,250
1212,b1,pchip,4,m^-2,A,0,200
1510,b1,pchip,4,m^-2,A,0,200
1519,b1,pchip,4,m^-2,A,0,200
1861,b1,pchip,4,m^-2,A,0,200
1879,b1,pchip,4,m^-2,A,0,200
2191,b1,pchip,4,m^-2,A,0,200
11,b1,pchip,5,m^-2,A,0,200
404,b1,pchip,5,m^-2,A,0,200
437,b1,pchip,5,m^-2,A,0,200
747,b1,pchip,5,m^-2,A,0,200
815,b1,pchip,5,m^-2,A,0,200
1150,b1,pchip,5,m^-2,A,0,200
1218,b1,pchip,5,m^-2,A,0,200
1504,b1,pchip,5,m^-2,A,0,200
1525,b1,pchip,5,m^-2,A,0,200
1855,b1,pchip,5,m^-2,A,0,200
1885,b1,pchip,5,m^-2,A,0,200
2185,b1,pchip,5,m^-2,A,0,200
13,b1,pchip,6,m^-2,A,0,200
400,b1,pchip,6,m^-2,A,0,200
439,b1,pchip,6,m^-2,A,0,200
743,b1,pchip,6,m^-2,A,0,200
817,b1,pchip,6,m^-2,A,0,200
1146,b1,pchip,6,m^-2,A,0,200
1220,b1,pchip,6,m^-2,A,0,200
1500,b1,pchip,6,m^-2,A,0,200
1527,b1,pchip,6,m^-2,A,0,200
1851,b1,pchip,6,m^-2,A,0,200
1887,b1,pchip,6,m^-2,A,0,200
2181,b1,pchip,6,m^-2,A,0,200
23,b1,pchip,7,m^-2,A,0,200
390,b1,pchip,7,m^-2,A,0,200
449,b1,pchip,7,m^-2,A,0,200
733,b1,pchip,7,m^-2,A,0,200
827,b1,pchip,7,m^-2,A,0,200
1136,b1,pchip,7,m^-2,A,0,200
1230,b1,pchip,7,m^-2,A,0,200
1489,b1,pchip,7,m^-2,A,0,200
1537,b1,pchip,7,m^-2,A,0,200
1841,b1,pchip,7,m^-2,A,0,200
1897,b1,pchip,7,m^-2,A,0,200
2170,b1,pchip,7,m^-2,A,0,200
31,b1,pchip,8,m^-2,A,0,200
384,b1,pchip,8,m^-2,A,0,200
457,b1,pchip,8,m^-2,A,0,200
727,b1,pchip,8,m^-2,A,0,200
835,b1,pchip,8,m^-2,A,0,200
1130,b1,pchip,8,m^-2,A,0,200
1238,b1,pchip,8,m^-2,A,0,200
1483,b1,pchip,8,m^-2,A,0,200
1545,b1,pchip,8,m^-2,A,0,200
1835,b1,pchip,8,m^-2,A,0,200
1905,b1,pchip,8,m^-2,A,0,200
2164,b1,pchip,8,m^-2,A,0,200
39,b1,pchip,9,m^-2,A,0,200
274,b1,pchip,9,m^-2,A,0,200
282,b1,pchip,9,m^-2,A,0,200
376,b1,pchip,9,m^-2,A,0,200
465,b1,pchip,9,m^-2,A,0,200
548,b1,pchip,9,m^-2,A,0,200
556,b1,pchip,9,m^-2,A,0,200
640,b1,pchip,9,m^-2,A,0,200
648,b1,pchip,9,m^-2,A,0,200
719,b1,pchip,9,m^-2,A,0,200
843,b1,pchip,9,m^-2,A,0,200
949,b1,pchip,9,m^-2,A,0,200
957,b1,pchip,9,m^-2,A,0,200
1041,b1,pchip,9,m^-2,A,0,200
1049,b1,pchip,9,m^-2,A,0,200
1122,b1,pchip,9,m^-2,A,0,200
1246,b1,pchip,9,m^-2,A,0,200
1316,b1,pchip,9,m^-2,A,0,200
1324,b1,pchip,9,m^-2,A,0,200
1395,b1,pchip,9,m^-2,A,0,200
1403,b1,pchip,9,m^-2,A,0,200
1475,b1,pchip,9,m^-2,A,0,200
1553,b1,pchip,9,m^-2,A,0,200
1625,b1,pchip,9,m^-2,A,0,200
1633,b1,pchip,9,m^-2,A,0,200
1718,b1,pchip,9,m^-2,A,0,200
1726,b1,pchip,9,m^-2,A,0,200
1827,b1,pchip,9,m^-2,A,0,200
1913,b1,pchip,9,m^-2,A,0,200
1984,b1,pchip,9,m^-2,A,0,200
1992,b1,pchip,9,m^-2,A,0,200
2063,b1,pchip,9,m^-2,A,0,200
2071,b1,pchip,9,m^-2,A,0,200
2156,b1,pchip,9,m^-2,A,0,200
45,b1,pchip,10,m^-2,A,0,200
266,b1,pchip,10,m^-2,A,0,200
288,b1,pchip,10,m^-2,A,0,200
368,b1,pchip,10,m^-2,A,0,200
