uc_id,coeff,val
1,0,0.000000
1,1,1e06
2,0,0.000000
2,1,1e-09
3,0,0.000000
3,1,1e-12
118,0,0.000000
118,1,0.001000
119,0,0.000000
119,1,0.000077
120,0,0.000000
120,1,0.000077
121,0,0.000000
121,1,0.000077
122,0,0.000000
122,1,0.000077
123,0,0.000000
123,1,0.000077
124,0,0.000000
124,1,0.000077
125,0,0.000000
125,1,0.000077
126,0,0.000000
126,1,0.000077
127,0,0.000000
127,1,0.000077
128,0,0.000000
128,1,0.000077
129,0,0.000000
129,1,0.000077
130,0,0.000000
130,1,0.000077
131,0,0.000000
131,1,0.000077
132,0,0.000000
132,1,0.000077
133,0,0.000000
133,1,0.000077
134,0,0.000000
134,1,0.000077
135,0,0.000000
135,1,0.000077
136,0,0.000000
136,1,0.000077
137,0,0.000000
137,1,0.000077
138,0,0.000000
138,1,0.000077
139,0,0.000000
139,1,0.000077
140,0,0.000000
140,1,0.000077
141,0,0.000000
141,1,0.000077
142,0,0.000000
142,1,0.000077
143,0,0.000000
143,1,0.000077
144,0,0.000000
144,1,0.000077
145,0,0.000000
145,1,0.000077
146,0,0.000000
146,1,0.000077
147,0,0.000000
147,1,0.000077
148,0,0.000000
148,1,0.000077
149,0,0.000000
149,1,0.000077
150,0,0.000000
150,1,0.000077
151,0,0.000000
151,1,0.000077
152,0,0.000000
152,1,0.000077
153,0,0.000000
153,1,0.000077
154,0,0.000000
154,1,0.000077
155,0,0.000000
155,1,0.000077
156,0,0.000000
156,1,0.000077
157,0,0.000000
157,1,0.000077
158,0,0.000000
158,1,0.000077
159,0,0.000000
159,1,0.000077
160,0,0.000000
160,1,0.000077
161,0,0.000000
161,1,0.000077
162,0,0.000000
162,1,0.000077
163,0,0.000000
163,1,0.000077
164,0,0.000000
164,1,0.000077
165,0,0.000000
165,1,0.000250
166,0,0.000000
166,1,0.000225
167,0,0.000000
167,1,0.000077
168,0,0.000000
168,1,0.000077
169,0,0.000000
169,1,0.000077
170,0,0.000000
170,1,0.000077
171,0,0.000000
171,1,0.000077
172,0,0.000000
172,1,0.000077
173,0,0.000000
173,1,0.000077
174,0,0.000000
174,1,0.000077
175,0,0.000000
175,1,0.000077
176,0,0.000000
176,1,0.000077
177,0,0.000000
177,1,0.000077
178,0,0.000000
178,1,0.000077
179,0,0.000000
179,1,0.000077
180,0,0.000000
180,1,0.000077
181,0,0.000000
181,1,0.000077
182,0,0.000000
182,1,0.000077
183,0,0.000000
183,1,0.000077
184,0,0.000000
184,1,0.000077
