el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
0,s_position,null,0,m,m,,
0,beta,null,0,m,m,,
0,dispersion,null,0,m,m,,
0,beam_current,null,0,A,A,,
1510,f,null,0,Hz,Hz,,
0,energy,poly,1,Gev,Mev,,
0,emittance_x,poly,2,m,nm,,
0,emittance_y,poly,3,m,pm,,
5,b1,pchip,4,m^-2,A,0,200
406,b1,pchip,4,m^-2,A,0,200
427,b1,pchip,4,m^-2,A,0,200
749,b1,pchip,4,m^-2,A,0,250
805,b1,pchip,4,m^-2,A,0,200
1152,b1,pchip,4,m^-2,A,0,250
1208,b1,pchip,4,m^-2,A,0,200
1506,b1,pchip,4,m^-2,A,0,200
1515,b1,pchip,4,m^-2,A,0,200
1857,b1,pchip,4,m^-2,A,0,200
1875,b1,pchip,4,m^-2,A,0,200
2187,b1,pchip,4,m^-2,A,0,200
11,b1,pchip,5,m^-2,A,0,200
400,b1,pchip,5,m^-2,A,0,200
433,b1,pchip,5,m^-2,A,0,200
743,b1,pchip,5,m^-2,A,0,200
811,b1,pchip,5,m^-2,A,0,200
1146,b1,pchip,5,m^-2,A,0,200
1214,b1,pchip,5,m^-2,A,0,200
1500,b1,pchip,5,m^-2,A,0,200
1521,b1,pchip,5,m^-2,A,0,200
1851,b1,pchip,5,m^-2,A,0,200
1881,b1,pchip,5,m^-2,A,0,200
2181,b1,pchip,5,m^-2,A,0,200
13,b1,pchip,6,m^-2,A,0,200
396,b1,pchip,6,m^-2,A,0,200
435,b1,pchip,6,m^-2,A,0,200
739,b1,pchip,6,m^-2,A,0,200
813,b1,pchip,6,m^-2,A,0,200
1142,b1,pchip,6,m^-2,A,0,200
1216,b1,pchip,6,m^-2,A,0,200
1496,b1,pchip,6,m^-2,A,0,200
1523,b1,pchip,6,m^-2,A,0,200
1847,b1,pchip,6,m^-2,A,0,200
1883,b1,pchip,6,m^-2,A,0,200
2177,b1,pchip,6,m^-2,A,0,200
23,b1,pchip,7,m^-2,A,0,200
386,b1,pchip,7,m^-2,A,0,200
445,b1,pchip,7,m^-2,A,0,200
729,b1,pchip,7,m^-2,A,0,200
823,b1,pchip,7,m^-2,A,0,200
1132,b1,pchip,7,m^-2,A,0,200
1226,b1,pchip,7,m^-2,A,0,200
1485,b1,pchip,7,m^-2,A,0,200
1533,b1,pchip,7,m^-2,A,0,200
1837,b1,pchip,7,m^-2,A,0,200
1893,b1,pchip,7,m^-2,A,0,200
2166,b1,pchip,7,m^-2,A,0,200
31,b1,pchip,8,m^-2,A,0,200
380,b1,pchip,8,m^-2,A,0,200
453,b1,pchip,8,m^-2,A,0,200
723,b1,pchip,8,m^-2,A,0,200
831,b1,pchip,8,m^-2,A,0,200
1126,b1,pchip,8,m^-2,A,0,200
1234,b1,pchip,8,m^-2,A,0,200
1479,b1,pchip,8,m^-2,A,0,200
1541,b1,pchip,8,m^-2,A,0,200
1831,b1,pchip,8,m^-2,A,0,200
1901,b1,pchip,8,m^-2,A,0,200
2160,b1,pchip,8,m^-2,A,0,200
39,b1,pchip,9,m^-2,A,0,200
274,b1,pchip,9,m^-2,A,0,200
282,b1,pchip,9,m^-2,A,0,200
372,b1,pchip,9,m^-2,A,0,200
461,b1,pchip,9,m^-2,A,0,200
544,b1,pchip,9,m^-2,A,0,200
552,b1,pchip,9,m^-2,A,0,200
636,b1,pchip,9,m^-2,A,0,200
644,b1,pchip,9,m^-2,A,0,200
715,b1,pchip,9,m^-2,A,0,200
839,b1,pchip,9,m^-2,A,0,200
945,b1,pchip,9,m^-2,A,0,200
953,b1,pchip,9,m^-2,A,0,200
1037,b1,pchip,9,m^-2,A,0,200
1045,b1,pchip,9,m^-2,A,0,200
1118,b1,pchip,9,m^-2,A,0,200
1242,b1,pchip,9,m^-2,A,0,200
1312,b1,pchip,9,m^-2,A,0,200
1320,b1,pchip,9,m^-2,A,0,200
1391,b1,pchip,9,m^-2,A,0,200
1399,b1,pchip,9,m^-2,A,0,200
1471,b1,pchip,9,m^-2,A,0,200
1549,b1,pchip,9,m^-2,A,0,200
1621,b1,pchip,9,m^-2,A,0,200
1629,b1,pchip,9,m^-2,A,0,200
1714,b1,pchip,9,m^-2,A,0,200
1722,b1,pchip,9,m^-2,A,0,200
1823,b1,pchip,9,m^-2,A,0,200
1909,b1,pchip,9,m^-2,A,0,200
1980,b1,pchip,9,m^-2,A,0,200
1988,b1,pchip,9,m^-2,A,0,200
2059,b1,pchip,9,m^-2,A,0,200
2067,b1,pchip,9,m^-2,A,0,200
2152,b1,pchip,9,m^-2,A,0,200
45,b1,pchip,10,m^-2,A,0,200
266,b1,pchip,10,m^-2,A,0,200
288,b1,pchip,10,m^-2,A,0,200
364,b1,pchip,10,m^-2,A,0,200
