el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
0,s_position,null,0,m,m,,
0,beta,null,0,m,m,,
0,dispersion,null,0,m,m,,
0,beam_current,null,0,A,A,,
1490,f,null,0,Hz,Hz,,
0,energy,poly,1,Gev,Mev,,
0,emittance_x,poly,2,m,nm,,
0,emittance_y,poly,3,m,pm,,
5,b1,pchip,4,m^-2,A,0,200
404,b1,pchip,4,m^-2,A,0,200
425,b1,pchip,4,m^-2,A,0,200
747,b1,pchip,4,m^-2,A,0,250
803,b1,pchip,4,m^-2,A,0,200
1133,b1,pchip,4,m^-2,A,0,250
1189,b1,pchip,4,m^-2,A,0,200
1486,b1,pchip,4,m^-2,A,0,200
1495,b1,pchip,4,m^-2,A,0,200
1823,b1,pchip,4,m^-2,A,0,200
1841,b1,pchip,4,m^-2,A,0,200
2139,b1,pchip,4,m^-2,A,0,200
11,b1,pchip,5,m^-2,A,0,200
398,b1,pchip,5,m^-2,A,0,200
431,b1,pchip,5,m^-2,A,0,200
741,b1,pchip,5,m^-2,A,0,200
809,b1,pchip,5,m^-2,A,0,200
1127,b1,pchip,5,m^-2,A,0,200
1195,b1,pchip,5,m^-2,A,0,200
1480,b1,pchip,5,m^-2,A,0,200
1501,b1,pchip,5,m^-2,A,0,200
1817,b1,pchip,5,m^-2,A,0,200
1847,b1,pchip,5,m^-2,A,0,200
2133,b1,pchip,5,m^-2,A,0,200
13,b1,pchip,6,m^-2,A,0,200
394,b1,pchip,6,m^-2,A,0,200
433,b1,pchip,6,m^-2,A,0,200
737,b1,pchip,6,m^-2,A,0,200
811,b1,pchip,6,m^-2,A,0,200
1123,b1,pchip,6,m^-2,A,0,200
1197,b1,pchip,6,m^-2,A,0,200
1476,b1,pchip,6,m^-2,A,0,200
1503,b1,pchip,6,m^-2,A,0,200
1813,b1,pchip,6,m^-2,A,0,200
1849,b1,pchip,6,m^-2,A,0,200
2129,b1,pchip,6,m^-2,A,0,200
23,b1,pchip,7,m^-2,A,0,200
384,b1,pchip,7,m^-2,A,0,200
443,b1,pchip,7,m^-2,A,0,200
727,b1,pchip,7,m^-2,A,0,200
821,b1,pchip,7,m^-2,A,0,200
1113,b1,pchip,7,m^-2,A,0,200
1207,b1,pchip,7,m^-2,A,0,200
1465,b1,pchip,7,m^-2,A,0,200
1513,b1,pchip,7,m^-2,A,0,200
1803,b1,pchip,7,m^-2,A,0,200
1859,b1,pchip,7,m^-2,A,0,200
2118,b1,pchip,7,m^-2,A,0,200
31,b1,pchip,8,m^-2,A,0,200
378,b1,pchip,8,m^-2,A,0,200
451,b1,pchip,8,m^-2,A,0,200
721,b1,pchip,8,m^-2,A,0,200
829,b1,pchip,8,m^-2,A,0,200
1107,b1,pchip,8,m^-2,A,0,200
1215,b1,pchip,8,m^-2,A,0,200
1459,b1,pchip,8,m^-2,A,0,200
1521,b1,pchip,8,m^-2,A,0,200
1797,b1,pchip,8,m^-2,A,0,200
1867,b1,pchip,8,m^-2,A,0,200
2112,b1,pchip,8,m^-2,A,0,200
39,b1,pchip,9,m^-2,A,0,200
268,b1,pchip,9,m^-2,A,0,200
276,b1,pchip,9,m^-2,A,0,200
370,b1,pchip,9,m^-2,A,0,200
459,b1,pchip,9,m^-2,A,0,200
542,b1,pchip,9,m^-2,A,0,200
550,b1,pchip,9,m^-2,A,0,200
634,b1,pchip,9,m^-2,A,0,200
642,b1,pchip,9,m^-2,A,0,200
713,b1,pchip,9,m^-2,A,0,200
837,b1,pchip,9,m^-2,A,0,200
943,b1,pchip,9,m^-2,A,0,200
951,b1,pchip,9,m^-2,A,0,200
1021,b1,pchip,9,m^-2,A,0,200
1029,b1,pchip,9,m^-2,A,0,200
1099,b1,pchip,9,m^-2,A,0,200
1223,b1,pchip,9,m^-2,A,0,200
1293,b1,pchip,9,m^-2,A,0,200
1301,b1,pchip,9,m^-2,A,0,200
1371,b1,pchip,9,m^-2,A,0,200
1379,b1,pchip,9,m^-2,A,0,200
1451,b1,pchip,9,m^-2,A,0,200
1529,b1,pchip,9,m^-2,A,0,200
1601,b1,pchip,9,m^-2,A,0,200
1609,b1,pchip,9,m^-2,A,0,200
1680,b1,pchip,9,m^-2,A,0,200
1688,b1,pchip,9,m^-2,A,0,200
1789,b1,pchip,9,m^-2,A,0,200
1875,b1,pchip,9,m^-2,A,0,200
1946,b1,pchip,9,m^-2,A,0,200
1954,b1,pchip,9,m^-2,A,0,200
2025,b1,pchip,9,m^-2,A,0,200
2033,b1,pchip,9,m^-2,A,0,200
2104,b1,pchip,9,m^-2,A,0,200
45,b1,pchip,10,m^-2,A,0,200
260,b1,pchip,10,m^-2,A,0,200
282,b1,pchip,10,m^-2,A,0,200
362,b1,pchip,10,m^-2,A,0,200
