type,length
Aperture,0.000000
Drift,4.380000
BPM,0.000000
Drift,1.288300
Quadrupole,0.406400
Drift,0.146800
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.231850
Quadrupole,0.606300
Drift,0.458350
Quadrupole,0.307000
Drift,0.196500
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.185000
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.585800
Quadrupole,0.406400
Drift,0.158300
BPM,0.000000
Drift,0.263500
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.195200
Quadrupole,0.407600
Drift,0.118700
BPM,0.000000
Drift,0.116000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.234700
Quadrupole,0.407600
Drift,0.195200
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.421800
Quadrupole,0.406400
Drift,0.101800
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.669000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.196500
Quadrupole,0.307000
Drift,0.173000
BPM,0.000000
Drift,0.285350
Quadrupole,0.606300
Drift,0.231850
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.146800
Quadrupole,0.406400
Drift,1.288300
BPM,0.000000
Drift,0.002500
Drift,1.219500
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.280500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.977500
source,0.000000
Drift,0.977500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.054000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.907000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.339000
Drift,0.002500
BPM,0.000000
Drift,0.366820
Drift,0.126181
Drift,0.050000
Quadrupole,0.250000
Drift,0.112500
Sextupole,0.175000
Drift,0.172500
Quadrupole,0.250000
Drift,0.069280
Drift,0.100000
Drift,0.075000
Sextupole,0.175000
Drift,0.075000
Drift,0.100000
Drift,0.112500
Bend,0.670431
Drift,0.185194
Drift,0.033729
Drift,0.025411
Drift,0.247889
Drift,0.003000
Drift,0.055324
BPM,0.000000
Drift,0.055173
Sextupole,0.175000
Drift,0.088380
Quadrupole,0.250000
Drift,0.031123
Drift,0.003000
Drift,0.115877
Sextupole,0.175000
Drift,0.150000
Quadrupole,0.250000
Drift,0.088380
Sextupole,0.175000
Drift,0.042543
Drift,0.003000
Drift,0.112894
BPM,0.000000
Drift,0.229063
Bend,0.966928
Drift,0.068240
Drift,0.073540
HSTR,0.000000
VSTR,0.000000
Drift,0.096600
Quadrupole,0.250000
Drift,0.000010
Drift,0.000000
Drift,0.011240
Drift,0.206000
BPM,0.000000
Drift,0.195750
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.987000
source,0.000000
Drift,0.987000
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.195750
BPM,0.000000
Drift,0.217250
Quadrupole,0.250000
Drift,0.096600
HSTR,0.000000
VSTR,0.000000
Drift,0.036080
Drift,0.003000
Drift,0.102700
Bend,0.966928
Drift,0.037500
Drift,0.141042
Drift,0.033728
Drift,0.024583
Drift,0.038147
Drift,0.112500
Sextupole,0.175000
Drift,0.088380
Quadrupole,0.250000
Drift,0.020890
Drift,0.003000
Drift,0.075286
BPM,0.000000
Drift,0.050824
Sextupole,0.175000
Drift,0.150000
Quadrupole,0.250000
Drift,0.088380
Sextupole,0.175000
Drift,0.269070
Drift,0.003000
Drift,0.103390
BPM,0.000000
Drift,0.230260
Bend,0.670431
Drift,0.112500
Drift,0.050309
Drift,0.049691
Drift,0.075000
Sextupole,0.175000
Drift,0.075000
Drift,0.100000
Drift,0.069280
Quadrupole,0.250000
Drift,0.000559
Drift,0.003000
Drift,0.168941
Sextupole,0.175000
Drift,0.112500
Quadrupole,0.250000
Drift,0.061559
Drift,0.003000
Drift,0.113000
Drift,0.048442
Drift,0.086001
Drift,0.130999
Drift,0.100000
BPM,0.000000
Drift,0.002500
Drift,1.119500
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.281500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.976500
source,0.000000
Drift,0.976500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.055000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.907000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.439000
Drift,0.002500
BPM,0.000000
Drift,1.288300
Quadrupole,0.406400
Drift,0.146800
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.231850
Quadrupole,0.606300
Drift,0.458350
Quadrupole,0.307000
Drift,0.196500
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.185000
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.585800
Quadrupole,0.406400
Drift,0.158300
BPM,0.000000
Drift,0.263500
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.195200
Quadrupole,0.407600
Drift,0.118700
BPM,0.000000
Drift,0.116000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.234700
Quadrupole,0.407600
Drift,0.195200
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.421800
Quadrupole,0.406400
Drift,0.101800
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.669000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.196500
Quadrupole,0.307000
Drift,0.173000
BPM,0.000000
Drift,0.285350
Quadrupole,0.606300
Drift,0.231850
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.146800
Quadrupole,0.406400
Drift,1.288300
BPM,0.000000
Drift,0.002500
Drift,1.219500
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.280500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.977500
source,0.000000
Drift,0.977500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.054000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.153500
source,0.000000
Drift,0.153500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.439000
Drift,0.002500
BPM,0.000000
Drift,1.288300
Quadrupole,0.406400
Drift,0.146800
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.231850
Quadrupole,0.606300
Drift,0.458350
Quadrupole,0.307000
Drift,0.196500
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.185000
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.585800
Quadrupole,0.406400
Drift,0.158300
BPM,0.000000
Drift,0.263500
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.195200
Quadrupole,0.407600
Drift,0.118700
BPM,0.000000
Drift,0.116000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.234700
Quadrupole,0.407600
Drift,0.195200
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.421800
Quadrupole,0.406400
Drift,0.101800
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.669000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.196500
Quadrupole,0.307000
Drift,0.173000
BPM,0.000000
Drift,0.285350
Quadrupole,0.606300
Drift,0.231850
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.146800
Quadrupole,0.406400
Drift,1.288300
BPM,0.000000
Drift,0.002500
Drift,1.172500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,2.905000
source,0.000000
Drift,2.905000
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Aperture,0.000000
Drift,1.172500
Drift,0.002500
BPM,0.000000
Drift,1.288300
Quadrupole,0.406400
Drift,0.146800
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.231850
Quadrupole,0.606300
Drift,0.458350
Quadrupole,0.307000
Drift,0.196500
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.185000
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.585800
Quadrupole,0.406400
Drift,0.158300
BPM,0.000000
Drift,0.263500
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.195200
Quadrupole,0.407600
Drift,0.118700
BPM,0.000000
Drift,0.116000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.234700
Quadrupole,0.407600
Drift,0.195200
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.421800
Quadrupole,0.406400
Drift,0.101800
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.669000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.196500
Quadrupole,0.307000
Drift,0.173000
BPM,0.000000
Drift,0.285350
Quadrupole,0.606300
Drift,0.231850
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.146800
Quadrupole,0.406400
Drift,1.288300
BPM,0.000000
Drift,0.002500
Drift,0.465500
Drift,0.075000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.075000
Drift,1.056000
source,0.000000
Drift,1.056000
Drift,0.075000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.075000
Drift,0.075000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.075000
Drift,1.056000
source,0.000000
Drift,1.056000
Drift,0.075000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.075000
Drift,0.465500
Drift,0.002500
BPM,0.000000
Drift,1.288300
Quadrupole,0.406400
Drift,0.146800
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.231850
Quadrupole,0.606300
Drift,0.458350
Quadrupole,0.307000
Drift,0.196500
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.185000
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.585800
Quadrupole,0.406400
Drift,0.158300
BPM,0.000000
Drift,0.263500
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.195200
Quadrupole,0.407600
Drift,0.118700
BPM,0.000000
Drift,0.116000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.234700
Quadrupole,0.407600
Drift,0.195200
Drift,0.005000
Sextupole,0.190000
Drift,0.005000
Drift,0.421800
Quadrupole,0.406400
Drift,0.101800
BPM,0.000000
Drift,0.484000
Bend,0.933000
Drift,0.669000
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.196500
Quadrupole,0.307000
Drift,0.173000
BPM,0.000000
Drift,0.285350
Quadrupole,0.606300
Drift,0.231850
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.146800
Quadrupole,0.406400
Drift,1.288300
BPM,0.000000
Drift,0.002500
Drift,1.219500
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.280500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.977500
source,0.000000
Drift,0.977500
Drift,0.150000
HTRIM,0.000000
VTRIM,0.000000
Drift,0.150000
Drift,0.054000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.907000
Drift,0.050000
HCHICA,0.000000
Drift,0.050000
Drift,0.439000
Drift,0.002500
BPM,0.000000
Drift,1.288300
Quadrupole,0.406400
Drift,0.146800
Drift,0.005000
Sextupole,0.290000
Drift,0.005000
Drift,0.231850
Quadrupole,0.606300
Drift,0.458350
Quadrupole,0.307000
Drift,0.196500
Drift,0.005000
