el_id,field,uc_type,uc_id,phys_units,eng_units,lower_lim,upper_lim
0,s_position,null,0,m,m,,
0,beta,null,0,m,m,,
0,dispersion,null,0,m,m,,
0,beam_current,null,0,A,A,,
1512,f,null,0,Hz,Hz,,
0,energy,poly,1,eV,MeV,,
0,emittance_x,poly,2,m,nm,,
0,emittance_y,poly,3,m,pm,,
5,b1,pchip,4,m^-2,A,0,200
410,b1,pchip,4,m^-2,A,0,200
431,b1,pchip,4,m^-2,A,0,200
753,b1,pchip,4,m^-2,A,0,250
809,b1,pchip,4,m^-2,A,0,200
1154,b1,pchip,4,m^-2,A,0,250
1210,b1,pchip,4,m^-2,A,0,200
1508,b1,pchip,4,m^-2,A,0,200
1517,b1,pchip,4,m^-2,A,0,200
1859,b1,pchip,4,m^-2,A,0,200
1877,b1,pchip,4,m^-2,A,0,200
2189,b1,pchip,4,m^-2,A,0,200
11,b1,pchip,5,m^-2,A,0,200
404,b1,pchip,5,m^-2,A,0,200
437,b1,pchip,5,m^-2,A,0,200
747,b1,pchip,5,m^-2,A,0,200
815,b1,pchip,5,m^-2,A,0,200
1148,b1,pchip,5,m^-2,A,0,200
1216,b1,pchip,5,m^-2,A,0,200
1502,b1,pchip,5,m^-2,A,0,200
1523,b1,pchip,5,m^-2,A,0,200
1853,b1,pchip,5,m^-2,A,0,200
1883,b1,pchip,5,m^-2,A,0,200
2183,b1,pchip,5,m^-2,A,0,200
13,b1,pchip,6,m^-2,A,0,200
400,b1,pchip,6,m^-2,A,0,200
439,b1,pchip,6,m^-2,A,0,200
743,b1,pchip,6,m^-2,A,0,200
817,b1,pchip,6,m^-2,A,0,200
1144,b1,pchip,6,m^-2,A,0,200
1218,b1,pchip,6,m^-2,A,0,200
1498,b1,pchip,6,m^-2,A,0,200
1525,b1,pchip,6,m^-2,A,0,200
1849,b1,pchip,6,m^-2,A,0,200
1885,b1,pchip,6,m^-2,A,0,200
2179,b1,pchip,6,m^-2,A,0,200
23,b1,pchip,7,m^-2,A,0,200
390,b1,pchip,7,m^-2,A,0,200
449,b1,pchip,7,m^-2,A,0,200
733,b1,pchip,7,m^-2,A,0,200
827,b1,pchip,7,m^-2,A,0,200
1134,b1,pchip,7,m^-2,A,0,200
1228,b1,pchip,7,m^-2,A,0,200
1487,b1,pchip,7,m^-2,A,0,200
1535,b1,pchip,7,m^-2,A,0,200
1839,b1,pchip,7,m^-2,A,0,200
1895,b1,pchip,7,m^-2,A,0,200
2168,b1,pchip,7,m^-2,A,0,200
31,b1,pchip,8,m^-2,A,0,200
384,b1,pchip,8,m^-2,A,0,200
457,b1,pchip,8,m^-2,A,0,200
727,b1,pchip,8,m^-2,A,0,200
835,b1,pchip,8,m^-2,A,0,200
1128,b1,pchip,8,m^-2,A,0,200
1236,b1,pchip,8,m^-2,A,0,200
1481,b1,pchip,8,m^-2,A,0,200
1543,b1,pchip,8,m^-2,A,0,200
1833,b1,pchip,8,m^-2,A,0,200
1903,b1,pchip,8,m^-2,A,0,200
2162,b1,pchip,8,m^-2,A,0,200
39,b1,pchip,9,m^-2,A,0,200
274,b1,pchip,9,m^-2,A,0,200
282,b1,pchip,9,m^-2,A,0,200
376,b1,pchip,9,m^-2,A,0,200
465,b1,pchip,9,m^-2,A,0,200
548,b1,pchip,9,m^-2,A,0,200
556,b1,pchip,9,m^-2,A,0,200
640,b1,pchip,9,m^-2,A,0,200
648,b1,pchip,9,m^-2,A,0,200
719,b1,pchip,9,m^-2,A,0,200
843,b1,pchip,9,m^-2,A,0,200
949,b1,pchip,9,m^-2,A,0,200
957,b1,pchip,9,m^-2,A,0,200
1041,b1,pchip,9,m^-2,A,0,200
1049,b1,pchip,9,m^-2,A,0,200
1120,b1,pchip,9,m^-2,A,0,200
1244,b1,pchip,9,m^-2,A,0,200
1314,b1,pchip,9,m^-2,A,0,200
1322,b1,pchip,9,m^-2,A,0,200
1393,b1,pchip,9,m^-2,A,0,200
1401,b1,pchip,9,m^-2,A,0,200
1473,b1,pchip,9,m^-2,A,0,200
1551,b1,pchip,9,m^-2,A,0,200
1623,b1,pchip,9,m^-2,A,0,200
1631,b1,pchip,9,m^-2,A,0,200
1716,b1,pchip,9,m^-2,A,0,200
1724,b1,pchip,9,m^-2,A,0,200
1825,b1,pchip,9,m^-2,A,0,200
1911,b1,pchip,9,m^-2,A,0,200
1982,b1,pchip,9,m^-2,A,0,200
1990,b1,pchip,9,m^-2,A,0,200
2061,b1,pchip,9,m^-2,A,0,200
2069,b1,pchip,9,m^-2,A,0,200
2154,b1,pchip,9,m^-2,A,0,200
45,b1,pchip,10,m^-2,A,0,200
266,b1,pchip,10,m^-2,A,0,200
288,b1,pchip,10,m^-2,A,0,200
368,b1,pchip,10,m^-2,A,0,200
